Branch,TaxState,ShiptoCity,ShiptoZip,County,TaxRate,StateRate,CountyRate,CityRate,SpecialRate,TaxableTotal,StateTax,Tax,CountyTax,CityTax,SpecialTax,DateFilled,OrderTotal,ItemTotal,Shipping,TallyTax,ItemPlusShipping
OGS/MT,WA,Addy,99101,3300 Stevens,0,0.076,0.011,0,0,92.99,7.06724,0,1.02289,0,0,December 2022,0,80.99,12,7.07,92.99
OGS/MT,NY,Turin,13473,Lewis,0,0.08,0.04,0,0,35.39,2.8312,0,1.4156,0,0,December 2022,0,35.39,0,2.83,35.39
OGS/MT,ID,Moyie Springs,83845,Boundary,0,0,0,0,0,141.35,0,0,0,0,0,December 2022,0,109.35,32,0,0
OGS/MT,OH,South Bloomingville,43152,Hocking,0,0.0725,0.015,0,0,44.41,3.219725,0,0.66615,0,0,December 2022,0,44.41,0,3.22,44.41
OGS/MT,ME,Winthrop,4364,Kennebec,0.055,0.055,0,0,0,38.5,2.1175,2.1175,0,0,0,December 2022,0,38.5,0,2.12,0
OGS/MT,VT,Randolph Center,5061,Orange,0,0.06,0,0,0,31.5,1.89,0,0,0,0,December 2022,0,31.5,0,1.89,31.5
OGS/MT,TN,Woodbury,37190,Cannon,0,0,0,0,0,301.88,0,0,0,0,0,December 2022,0,201.87,100,0,301.87
OGS/MT,ME,Eliot,3903,York,0.055,0.055,0,0,0,59,3.245,3.245,0,0,0,January 2023,0,59,0,3.25,0
OGS/MT,KY,Magnolia,42757,Hart,0,0.06,0,0,0,102.73,6.1638,0,0,0,0,December 2022,0,90.72,12,6.16,102.72
OGS/MT,MA,Topsfield,1983,Essex,0,0.0625,0,0,0,22.8,1.425,0,0,0,0,December 2022,0,22.8,0,1.43,0
OGS/MT,WA,Ferndale,98248,3700 Whatcom,0,0.087999,0.015,0,0,113.24,9.96500676,0,1.6986,0,0,December 2022,0,101.23,12,9.97,113.23
OGS/MT,MA,Worcester,1609,Worcester,0,0.0625,0,0,0,82.72,5.17,0,0,0,0,December 2022,0,82.72,0,5.17,0
OGS/MT,WI,Poynette,53955,Columbia,0,0.055,0.005,0,0,19.6,1.078,0,0.098,0,0,December 2022,0,7.6,12,1.08,19.6
OGS/MT,NY,Hopewell Junction,12533,Dutchess,0,0.08375,0.04,0,0.00375,0,0,0,0,0,0,December 2022,0,10.21,0,0,10.21
OGS/MT,IA,Bloomfield,52537,Davis,0,0,0,0,0,22.33,0,0,0,0,0,December 2022,0,22.32,0,0,0
OGS/MT,ME,Long Pond Township,4945,Somerset,0.055,0.055,0,0,0,93.67,5.15185,5.15185,0,0,0,December 2022,0,93.67,34,5.15,0
OGS/MT,MO,Republic,65738,Greene,0,0,0,0,0,141.75,0,0,0,0,0,December 2022,0,105.75,36,0,0
OGS/MT,ME,Ludlow,4730,Aroostook,0.055,0.055,0,0,0,168.08,9.2444,9.2444,0,0,0,December 2022,0,168.07,23,9.24,0
OGS/MT,MN,Stanchfield,55080,301 Isanti,0,0.07375,0,0,0.005,105.03,7.7459625,0,0,0,0.52515,December 2022,0,85.02,20,7.75,105.02
OGS/MT,MA,New Ashford,1237,Berkshire,0,0.0625,0,0,0,53.91,3.369375,0,0,0,0,December 2022,0,61.27,23,3.37,0
OGS/MT,NY,Watkins Glen,14891,Schuyler,0,0.08,0.04,0,0,348.2,27.856,0,13.928,0,0,December 2022,0,319.2,29,27.86,348.2
OGS/MT,CT,Hamden,6517,New Haven,0,0.0635,0,0,0,76.44,4.85394,0,0,0,0,December 2022,0,53.44,23,4.85,76.44
OGS/MT,ME,Montville,4941,Waldo,0.055,0.055,0,0,0,42.28,2.3254,2.3254,0,0,0,December 2022,0,42.27,29,2.33,0
OGS/MT,VT,Richmond,5477,Chittenden,0,0.06,0,0,0,43.76,2.6256,0,0,0,0,December 2022,0,64.84,23,2.63,87.84
OGS/MT,SC,Seneca,29672,Oconee,0,0,0,0,0,50.89,0,0,0,0,0,December 2022,0,30.87,20,0,50.87
OGS/MT,VA,Winchester,22603,Frederick,0,0.053,0.01,0,0,14.4,0.7632,0,0.144,0,0,December 2022,0,14.4,0,0.76,0
OGS/MT,NY,Afton,13730,Chenango,0,0.08,0.04,0,0,374.75,29.98,0,14.99,0,0,December 2022,0,335.75,39,29.98,374.75
OGS/MT,VT,Bristol,5443,Addison,0,0.07,0,0.01,0,143.85,10.0695,0,0,1.4385,0,December 2022,0,104.85,39,10.07,143.85
OGS/MT,NY,Irvington,10533,Westchester,0,0.08375,0.04,0,0.00375,17.1,1.432125,0,0.684,0,0.064125,December 2022,0,17.1,0,1.43,17.1
OGS/MT,MA,Dracut,1826,Middlesex,0,0.0625,0,0,0,445.2,27.825,0,0,0,0,January 2023,0,445.2,34,27.83,0
OGS/MT,ME,Westfield,5874,Orleans,0.055,0.055,0,0,0,202.5,11.1375,11.1375,0,0,0,March 2023,0,202.5,0,11.14,0
OGS/MT,NJ,Blairstown,7825,Warren,0,0.06625,0,0,0,0,0,0,0,0,0,December 2022,0,31.59,0,0,31.59
